streak_id,student_id,streak_active,streak_frozen,streak_created
833547,455176,1,0,"12/1/2022 7:38"
833548,254713,1,0,"12/1/2022 7:40"
833549,428503,1,0,"12/1/2022 7:41"
833550,274630,1,0,"12/1/2022 7:41"
833551,303702,1,0,"12/1/2022 7:41"
833552,274552,1,0,"12/1/2022 7:41"
833553,383686,1,0,"12/1/2022 7:45"
833554,428440,1,0,"12/1/2022 7:46"
833555,337144,1,0,"12/1/2022 7:47"
833556,423752,1,0,"12/1/2022 7:48"
833557,426413,1,0,"12/1/2022 7:48"
833558,455099,1,0,"12/1/2022 7:51"
833559,274127,1,0,"12/1/2022 7:54"
833560,441990,1,0,"12/1/2022 7:55"
833561,367265,1,0,"12/1/2022 7:55"
833562,286802,1,0,"12/1/2022 7:58"
833563,296613,1,0,"12/1/2022 8:00"
833564,12930,1,0,"12/1/2022 8:02"
833565,348946,1,0,"12/1/2022 8:02"
833566,455186,1,0,"12/1/2022 8:04"
833567,455007,1,0,"12/1/2022 8:06"
833568,330146,1,0,"12/1/2022 8:07"
833569,443327,1,0,"12/1/2022 8:08"
833570,275158,1,0,"12/1/2022 8:09"
833571,435597,1,0,"12/1/2022 8:10"
833572,415979,1,0,"12/1/2022 8:11"
833573,372102,1,0,"12/1/2022 8:13"
833574,405422,1,0,"12/1/2022 8:13"
833575,304746,1,0,"12/1/2022 8:14"
833576,441587,1,0,"12/1/2022 8:15"
833577,253829,1,0,"12/1/2022 8:16"
833578,444259,1,0,"12/1/2022 8:16"
833579,283206,1,0,"12/1/2022 8:17"
833580,288284,1,0,"12/1/2022 8:18"
833581,447808,1,0,"12/1/2022 8:19"
833582,42236,1,0,"12/1/2022 8:20"
833583,443104,1,0,"12/1/2022 8:21"
833584,143982,1,0,"12/1/2022 8:21"
833585,280613,1,0,"12/1/2022 8:22"
833586,402461,1,0,"12/1/2022 8:22"
833587,347232,1,0,"12/1/2022 8:24"
833588,6090,1,0,"12/1/2022 8:24"
833589,282304,1,0,"12/1/2022 8:25"
833590,2159,1,0,"12/1/2022 8:26"
833591,453530,1,0,"12/1/2022 8:29"
